project_id,project_name,product_name,start_date,end_date,status
PRJ001,Enterprise AI Deployment 1,InsightAI Platform 2,2024-01-15,2025-06-30,Completed
PRJ002,Enterprise AI Deployment 2,InsightAI Platform 3,2024-01-15,2025-06-30,On Hold
PRJ003,Enterprise AI Deployment 3,InsightAI Platform 4,2024-01-15,2025-06-30,Active
PRJ004,Enterprise AI Deployment 4,InsightAI Platform 5,2024-01-15,2025-06-30,Completed
PRJ005,Enterprise AI Deployment 5,InsightAI Platform 6,2024-01-15,2025-06-30,On Hold
PRJ006,Enterprise AI Deployment 6,InsightAI Platform 7,2024-01-15,2025-06-30,Active
PRJ007,Enterprise AI Deployment 7,InsightAI Platform 8,2024-01-15,2025-06-30,Completed
PRJ008,Enterprise AI Deployment 8,InsightAI Platform 9,2024-01-15,2025-06-30,On Hold
PRJ009,Enterprise AI Deployment 9,InsightAI Platform 10,2024-01-15,2025-06-30,Active
PRJ010,Enterprise AI Deployment 10,InsightAI Platform 11,2024-01-15,2025-06-30,Completed
PRJ011,Enterprise AI Deployment 11,InsightAI Platform 12,2024-01-15,2025-06-30,On Hold
PRJ012,Enterprise AI Deployment 12,InsightAI Platform 13,2024-01-15,2025-06-30,Active
PRJ013,Enterprise AI Deployment 13,InsightAI Platform 14,2024-01-15,2025-06-30,Completed
PRJ014,Enterprise AI Deployment 14,InsightAI Platform 15,2024-01-15,2025-06-30,On Hold
PRJ015,Enterprise AI Deployment 15,InsightAI Platform 16,2024-01-15,2025-06-30,Active
PRJ016,Enterprise AI Deployment 16,InsightAI Platform 17,2024-01-15,2025-06-30,Completed
PRJ017,Enterprise AI Deployment 17,InsightAI Platform 18,2024-01-15,2025-06-30,On Hold
PRJ018,Enterprise AI Deployment 18,InsightAI Platform 19,2024-01-15,2025-06-30,Active
PRJ019,Enterprise AI Deployment 19,InsightAI Platform 20,2024-01-15,2025-06-30,Completed
PRJ020,Enterprise AI Deployment 20,InsightAI Platform 21,2024-01-15,2025-06-30,On Hold
PRJ021,Enterprise AI Deployment 21,InsightAI Platform 22,2024-01-15,2025-06-30,Active
PRJ022,Enterprise AI Deployment 22,InsightAI Platform 23,2024-01-15,2025-06-30,Completed
PRJ023,Enterprise AI Deployment 23,InsightAI Platform 24,2024-01-15,2025-06-30,On Hold
PRJ024,Enterprise AI Deployment 24,InsightAI Platform 25,2024-01-15,2025-06-30,Active
PRJ025,Enterprise AI Deployment 25,InsightAI Platform 26,2024-01-15,2025-06-30,Completed
PRJ026,Enterprise AI Deployment 26,InsightAI Platform 27,2024-01-15,2025-06-30,On Hold
PRJ027,Enterprise AI Deployment 27,InsightAI Platform 28,2024-01-15,2025-06-30,Active
PRJ028,Enterprise AI Deployment 28,InsightAI Platform 29,2024-01-15,2025-06-30,Completed
PRJ029,Enterprise AI Deployment 29,InsightAI Platform 30,2024-01-15,2025-06-30,On Hold
PRJ030,Enterprise AI Deployment 30,InsightAI Platform 31,2024-01-15,2025-06-30,Active
PRJ031,Enterprise AI Deployment 31,InsightAI Platform 32,2024-01-15,2025-06-30,Completed
PRJ032,Enterprise AI Deployment 32,InsightAI Platform 33,2024-01-15,2025-06-30,On Hold
PRJ033,Enterprise AI Deployment 33,InsightAI Platform 34,2024-01-15,2025-06-30,Active
PRJ034,Enterprise AI Deployment 34,InsightAI Platform 35,2024-01-15,2025-06-30,Completed
PRJ035,Enterprise AI Deployment 35,InsightAI Platform 36,2024-01-15,2025-06-30,On Hold
PRJ036,Enterprise AI Deployment 36,InsightAI Platform 37,2024-01-15,2025-06-30,Active
PRJ037,Enterprise AI Deployment 37,InsightAI Platform 38,2024-01-15,2025-06-30,Completed
PRJ038,Enterprise AI Deployment 38,InsightAI Platform 39,2024-01-15,2025-06-30,On Hold
PRJ039,Enterprise AI Deployment 39,InsightAI Platform 40,2024-01-15,2025-06-30,Active
PRJ040,Enterprise AI Deployment 40,InsightAI Platform 41,2024-01-15,2025-06-30,Completed
PRJ041,Enterprise AI Deployment 41,InsightAI Platform 42,2024-01-15,2025-06-30,On Hold
PRJ042,Enterprise AI Deployment 42,InsightAI Platform 43,2024-01-15,2025-06-30,Active
PRJ043,Enterprise AI Deployment 43,InsightAI Platform 44,2024-01-15,2025-06-30,Completed
PRJ044,Enterprise AI Deployment 44,InsightAI Platform 45,2024-01-15,2025-06-30,On Hold
PRJ045,Enterprise AI Deployment 45,InsightAI Platform 46,2024-01-15,2025-06-30,Active
PRJ046,Enterprise AI Deployment 46,InsightAI Platform 47,2024-01-15,2025-06-30,Completed
PRJ047,Enterprise AI Deployment 47,InsightAI Platform 48,2024-01-15,2025-06-30,On Hold
PRJ048,Enterprise AI Deployment 48,InsightAI Platform 49,2024-01-15,2025-06-30,Active
PRJ049,Enterprise AI Deployment 49,InsightAI Platform 50,2024-01-15,2025-06-30,Completed
PRJ050,Enterprise AI Deployment 50,InsightAI Platform 1,2024-01-15,2025-06-30,On Hold
